Alimento;Unidad individual;Peso unitario individual;Porción comestible;Energía (kcal/100 g);Proteína (g/100 g);Lípidos totales (g/100 g);AG Saturados (g/100 g);Colesterol (g/100 g);Hidratos de Carbono ((g/100 g);Azúcar (g/100 g);Fibra (g/100 g);Na, Sodio [mg/100 g];Subgrupo
Pargo;g;1;1;103;21.1;2.1;0.2;44;0;0;0;67;AOAMB
Pargo fileteado;g;1;1;103;21.1;2.1;0.2;44;0;0;0;67;AOAMB
Pata de res;g;1;1;79;12.1;2.9;ND;ND;1.1;0;0;ND;AOAMB
Pechuga de pavo;rebanada;21;1;109.5;22.4;1.4;0.5;42.9;0;0;0;1433.3;AOAMB
Pechuga de pavo ahumada;rebanada;22.5;1;93.3;19.8;0.9;0.4;44.4;1.6;0.2;0;1193.3;AOAMB
Pechuga de pavo ahumada baja en grasa;rebanada;21;1;78.8;15;0.6;0.2;30.8;3.5;1.2;0;1094.2;AOAMB
Pechuga de pollo  sin piel aplanada;g;1;1;159;28.9;4;1.1;77;0;0;0;65;AOAMB
Pechuga de pollo ahumada;rebanada;21;1;78.6;16.4;0.2;0.2;35.7;2.6;0;0;1076.2;AOAMB
Pechuga de pollo deshuesada sin piel cruda;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Pechuga de pollo sin piel;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Pechuga de pollo sin piel a la plancha;g;1;1;159;28.9;4;1.1;77;0;0;0;65;AOAMB
Pechuga de pollo sin piel asada;g;1;1;159;28.9;4;1.1;77;0;0;0;65;AOAMB
Pechuga de pollo sin piel cocida;g;1;1;159;28.9;4;1.1;77;0;0;0;65;AOAMB
Pechuga de pollo sin piel cruda;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Pechuga de pollo sin piel en brocheta cruda;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Pechuga de pollo sin piel en fajitas cruda;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Pechuga de pollo sin piel horneada rebanada;rebanada;21;1;97.8;19.6;0.7;0.2;51.1;3.8;0.7;0;1142.2;AOAMB
Pechuga de pollo sin piel molida cruda;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Pechuga sin piel deshebrada;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Pechuga sin piel desmenuzada;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Pechuga sin piel molida;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Perca cocida;g;1;1;117;24.8;1.2;0.2;115.3;0;0;0;78.8;AOAMB
Perca cruda;g;1;1;90.6;19.4;0.9;0.2;90;0;0;0;62.4;AOAMB
Perca fileteada;g;1;1;90.6;19.4;0.9;0.2;90;0;0;0;62.4;AOAMB
Pescado blanco ahumado;g;1;1;108.2;23.4;0.9;0.2;32.9;0;0;0;1019;AOAMB
Pescado en trozo;g;1;1;91;18.8;1.2;0.3;48;0;0;0;81;AOAMB
Pescado entero;g;1;1;91;18.8;1.2;0.3;48;0;0;0;81;AOAMB
Pescado fileteado;g;1;1;91;18.8;1.2;0.3;48;0;0;0;81;AOAMB
Pescado rebanado;g;1;1;91;18.8;1.2;0.3;48;0;0;0;81;AOAMB
Pescado seco tipo bacalao;g;1;1;290.6;62.8;2.4;0.5;151.8;0;0;0;7027;AOAMB
Pez espada cocido;g;1;1;155.3;25.4;5.1;1.4;50;0;0;0;115.3;AOAMB
Pez espada crudo;g;1;1;121.2;19.8;4;1.1;38.8;0;0;0;90;AOAMB
Pez espada crudo fileteado;g;1;1;121.2;19.8;4;1.1;38.8;0;0;0;90;AOAMB
Pez espada crudo rebanado;g;1;1;121.2;19.8;4;1.1;38.8;0;0;0;90;AOAMB
Pollo crudo sin piel;g;1;1;187;18.2;12.1;3.4;83;0;0;0;70;AOAMB
Pollo crudo sin piel en piezas;g;1;1;187;18.2;12.1;3.4;83;0;0;0;79;AOAMB
Pollo deshebrado;g;1;1;159;28.9;4;1.1;77;0;0;0;65;AOAMB
Pollo sin piel cocido;g;1;1;159;28.9;4;1.1;77;0;0;0;65;AOAMB
Proteína aislada de soya;g;1;1;338;80.7;3.4;7;16;7.4;0;5.6;1005;AOAMB
Proteína concentrada de soya;g;1;1;331;58.1;0.4;0;0;30.9;20;5.5;3;AOAMB
Pulmón de cerdo;g;1;1;85;14.1;2.7;1;320;0;0;0;153;AOAMB
Pulpa de jaiba;taza;140;1;83;17.3;1.3;0.2;78;0;0;0;41;AOAMB
Pulpo cocido;g;1;1;163.5;29.8;2.1;0.5;96.5;4.4;0;0;460;AOAMB
Pulpo crudo;g;1;1;82.4;14.9;1;0.2;48.2;2.2;0;0;230;AOAMB
Puntas de filete;g;1;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Puntas de res;g;1;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Queso Cotagge Lala Light;g;1;1;70;13;1;ND;ND;2;ND;ND;400;AOAMB
Queso cottage;cda;16;1;89.8;13.8;1.9;1.2;8.4;3.6;0.3;0;406.2;AOAMB
Queso cottage 1% grasa;taza;226;1;72;12.4;1;0.7;4.4;2.7;2.7;0;406.2;AOAMB
Queso cottage 2% grasa;cda;16;1;89.8;13.8;1.9;1.2;8.4;3.6;0.3;0;406.2;AOAMB
Queso cottage bajo en grasa;taza;226;1;72;12.4;1;0.7;4.4;2.7;2.7;0;406.2;AOAMB
Queso Mozzarella cero grasa;rebanada;28;1;141;31.7;0;0;17.9;3.6;1.4;1.8;742.9;AOAMB
Queso suizo muy bajo en grasa;rebanada;28;1;178.6;28.6;5;3.2;35.7;3.6;1.4;0;260.7;AOAMB
Retazo de pescado crudo;g;1;1;100;20.5;1.3;0.2;36.5;0;0;0;63.5;AOAMB
Riñones de carnero crudos;g;1;1;109;18;3.2;0;375;0.8;0;0;0;AOAMB
Riñones de cerdo cocidos;g;1;1;151;25.4;4.7;1.5;480;0;0;0;80;AOAMB
Riñones de res cocidos;g;1;1;158;27.3;4.7;1.1;716;0;0;0;94;AOAMB
Riñones de ternera cocidos;g;1;1;163;26.3;5.7;1.7;791;0;0;0;110;AOAMB
Roast beef;rebanada;13;1;111.5;20.2;2.9;1.3;48.1;1.5;0.4;0;1011.5;AOAMB
Robalo cocido;g;1;1;111.8;24.2;0.9;0.1;74.1;0;0;0;87.1;AOAMB
Robalo crudo;g;1;1;87.1;18.9;0.7;0.1;57;0;0;0;68.2;AOAMB
Robalo fileteado;g;1;1;87.1;18.9;0.7;0.1;57;0;0;0;68.2;AOAMB
Salmón ahumado;g;1;1;117;18.3;4.3;0.9;23;0;0;0;784;AOAMB
Sats orugas;g;1;1;54;10.7;1.2;ND;ND;0;0;0;ND;AOAMB
Surimi;barra;60;1;98.8;15.2;0.9;0.2;30;6.9;0;0;143;AOAMB
Surimi imitación camarón;g;1;1;101.2;12.4;1.5;0.2;36.5;9.2;0;0;705;AOAMB
Tampiqueña;pieza;120;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Tampiqueña de filete;pieza;120;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Trucha fresca;g;1;1;118.8;20.5;3.4;0.7;58.8;0;0;0;30.6;AOAMB
Venado cocido (carne magra);g;1;1;187;26.5;8.2;4;98;0;0;0;78;AOAMB
Venado crudo (carne magra);g;1;1;157;21.8;7.1;3.4;80;0;0;0;75;AOAMB
Pechuga de pollo molida;gramos;1;1;120;22.5;2.6;0.6;73;0;0;0;45;AOAMB
Proteína de suero de leche;cucharadita;5;1;359;58.1;1.2;0.6;12;29.1;0;1.2;372;AOAMB
Sopa de almeja;taza;240;1;56;3;1.4;0.9;6;7.8;1.7;1.2;417;AOAMB
Amaranto acaramelado;taza;64;1;380;5;10;0;0;67.5;42.5;5;0;Cereales y tubérculos con grasa
Aros de cebolla;pieza;15;1;276;4.1;14.3;2.1;0;33.8;5.1;2.2;370;Cereales y tubérculos con grasa
Banderillas;pieza;75;1;289;7.9;14.5;3.3;39;31.6;11.8;1.3;803;Cereales y tubérculos con grasa
Barcel churritos chile y limón;bolsa;50;1;574;6;38;12;0;52;0;4;860;Cereales y tubérculos con grasa
Barra all bran;pieza;40;1;387.5;7.5;17.5;8.3;25;50;22.5;17.5;162.5;Cereales y tubérculos con grasa
Barra All Bran Fresa;pieza;37;1;381;8.1;13.5;6.8;13.5;56.7;27;10.8;202.7;Cereales y tubérculos con grasa
Barra All bran manzana canela;pieza;37;1;359.4;5.4;13.5;6.5;27;54;24.3;13.5;243.2;Cereales y tubérculos con grasa
Barra Choco krispis;barra;19;1;88.8;5.2;7.8;3.6;0;78.9;31.5;2.6;477;Cereales y tubérculos con grasa
Barra de fruta con Avena Fresa;gramos;1;1;400;5.3;16;ND;ND;59;31;6.3;183;Cereales y tubérculos con grasa
Barra de fruta Quaker Sabor Fresa;Pieza/Barra;30;1;400;5.3;16;4.7;16.7;59;31;6.3;183.3;Cereales y tubérculos con grasa
Barra de granola;pieza;28;1;478.6;10.4;20;2.5;0;65.4;0;5.4;296.4;Cereales y tubérculos con grasa
Barra multigrano linaza;gramos;1;1;496;9.6;24;10.3;40.6;60;17.1;7.1;184.3;Cereales y tubérculos con grasa
Barra Zucaritas;barra;21;1;428;4.7;9.5;6.1;0;76;33;2.3;476.1;Cereales y tubérculos con grasa
Barras Chewy para Niños Varios Sabores;paquete;23;1;413;7;10;ND;ND;74;27;6.5;304;Cereales y tubérculos con grasa
Barrita de granola con cacahuate;pieza;57;1;461;7.5;26.5;6.3;0;58.2;31.6;3.9;168.4;Cereales y tubérculos con grasa
Barrita de granola con choco chip;pieza;28;1;425;7.5;16.8;10.4;0;70;0;5;275;Cereales y tubérculos con grasa
Barrita de granola con pasitas y nuez;pieza;28;1;460.7;8.2;20.7;9.6;0;64.3;0;5.7;257.1;Cereales y tubérculos con grasa
Barrita de granola cubierta con chocolate;pieza;28;1;464.3;5.7;25;14.3;3.6;63.9;0;3.6;200;Cereales y tubérculos con grasa
Barritas de fresa;pieza;64;1;459.4;5.3;18.4;4.7;0;68.1;0;1.3;173.4;Cereales y tubérculos con grasa
Barritas Marinela;gramos;1;1;453.3;3.7;18.9;10.4;0;66.9;29.6;0.8;162.7;Cereales y tubérculos con grasa
Barritas Marinela Fresa;pieza;33.5;1;462.6;6;19.4;11.9;0;65.6;26.8;0;149.3;Cereales y tubérculos con grasa
Barritas Marinela Piña;pieza;33.5;1;462.6;6;19.4;11.9;0;65.6;26.8;0;149.3;Cereales y tubérculos con grasa
Base para pay;g;1;1;550;5;40;10;0;45;0;0;750;Cereales y tubérculos con grasa
Bigote relleno de chocolate;pieza;60;1;441.6;7;22;9.1;35;54;23;2.1;263;Cereales y tubérculos con grasa
Bigotes de cajeta;pieza;68;1;458.8;10.6;22.4;4.6;64.5;40.3;0;0;586;Cereales y tubérculos con grasa
Bigotes de chocolate;pieza;68;1;458.8;10.6;22.4;4.6;64.5;40.3;0;0;586;Cereales y tubérculos con grasa
Bigotes miniatura de cajeta;pieza;13;1;458.8;10.6;22.4;4.6;64.5;40.3;0;0;586;Cereales y tubérculos con grasa
Bimbo Bran frut fresa;pieza;40;1;377.5;5;15;7.5;0;57.5;25;7.5;325;Cereales y tubérculos con grasa
Bimbo Bran frut piña;pieza;40;1;405;5;15;7.5;0;62.5;20;5;287.5;Cereales y tubérculos con grasa
Bimbo donas azucaradas;pieza;26.25;1;418.3;3.8;22.8;11.4;38;49.4;22.8;0;456.3;Cereales y tubérculos con grasa
Bimbo Doraditas;pieza;36;1;528.6;5.4;27.2;13.6;0;65.4;24.5;0;299.7;Cereales y tubérculos con grasa
Bimbo Mantecadas;pieza;31.25;1;435.2;6.4;24;8;112;48;25.6;0;336;Cereales y tubérculos con grasa
Bimbo Multigrano Chía;pieza;32;1;478.1;9.3;26.5;7.8;46.9;50;16.6;6.3;187.5;Cereales y tubérculos con grasa
Bimbo Multigrano linaza;pieza;32;1;446.8;12.5;21.9;6.3;46.9;50;12.5;9.4;203.1;Cereales y tubérculos con grasa
Bimbo multigrano nuez;pieza;34;1;523.5;8.8;29.4;8.8;29.4;55.9;17.6;5.9;191;Cereales y tubérculos con grasa
Bimbo Nito;pieza;62;1;396.7;4.8;16.1;7.3;0;58;32.3;1.6;258;Cereales y tubérculos con grasa
Bimbo panquecito gotas de chocolate;pieza;70;1;394.2;7.1;18.5;8.6;107;51.4;24.2;0;300;Cereales y tubérculos con grasa
Bimbo rol de canela glaseado;pieza;60.83;1;317.7;5.9;7.3;3.7;29.3;57.1;27.8;1.5;183;Cereales y tubérculos con grasa
Bimbo Tartinas fresa;pieza;16.6;1;415.5;7.7;11.5;3.8;0;69.2;38.5;0;115.3;Cereales y tubérculos con grasa
Bimbo Tartinas piña;pieza;16.6;1;415.3;7.7;11.5;3.8;0;69.2;30.7;0;115.3;Cereales y tubérculos con grasa
Bimbo Tartinas zarzamora;pieza;16.6;1;415.3;7.7;11.5;3.8;0;69.2;38.5;0;115.3;Cereales y tubérculos con grasa
Bimbuñuelos;pieza;15;1;400;3;19.3;6;30.2;53.3;24.2;0;345.4;Cereales y tubérculos con grasa
Bisquet;pieza;65;1;362.9;6.3;16.6;2.6;0;48.6;0;1.4;1051.4;Cereales y tubérculos con grasa
Bocadín;pieza;10.5;1;485.7;0;28.5;19;0;57.1;38;0;47.6;Cereales y tubérculos con grasa
Botana con proteína de amaranto;bolsa;40;1;504.5;7.5;29;0;0;50.3;0;2.3;502;Cereales y tubérculos con grasa
Brownie casero;pieza;24;1;466.7;6.3;29.2;7.5;75;50;0;0;341.7;Cereales y tubérculos con grasa
Brownie comercial;pieza;56;1;405.4;4.8;16.3;4.3;17.9;63.9;0;2.1;312.5;Cereales y tubérculos con grasa
Buñuelos;pieza;16.6;1;412;3.1;18.3;4.7;11;59.5;35.1;1.2;62;Cereales y tubérculos con grasa
Campechanas;pieza;15;1;474.7;9.8;22.9;9.3;0;62.2;4;5.3;73;Cereales y tubérculos con grasa
Cazares;bolsa chica (26g);26;1;460;8.4;21.3;3.9;0;58.7;0;9;200;Cereales y tubérculos con grasa
Centro de dona;pieza;15;1;377;3.8;15;6.6;28;54.7;32.1;1.9;415;Cereales y tubérculos con grasa
Chalupa;pieza;47;1;172;5.8;8.6;0;0;17.8;;0.6;67.8;Cereales y tubérculos con grasa
Charritos de amaranto;bolsa;40;1;504.5;7.5;29;0;0;50.3;0;2.3;502;Cereales y tubérculos con grasa
Cheescake;rebanada;30;1;321.3;5.5;22.5;9.9;55;25.5;ND;0.4;ND;Cereales y tubérculos con grasa
Cheetos;gramos;1;1;548;4;36;12;0;52;4;0;640;Cereales y tubérculos con grasa
Cheetos Poffs;gramos;1;1;528;8;32;ND;ND;52;5;3;790;Cereales y tubérculos con grasa
Cheetos Poffs;bolsita;31;1;540;6.7;33.3;11.7;0;53.3;3.3;3.3;800;Cereales y tubérculos con grasa
Cheetos Torciditos;gramos;1;1;539;5;35;ND;ND;51;5;2;630;Cereales y tubérculos con grasa
Cheetos Torciditos;bolsita;44;1;540;6.7;33.3;11.7;0;53.3;3.3;3.3;600;Cereales y tubérculos con grasa
Chicharrón de harina enchilado;bolsa;46;1;460;9.3;24.2;0;0;54.2;0;3.8;0;Cereales y tubérculos con grasa
Chips ahoy;pieza;9.5;1;479;5.3;21.3;13;0;66.5;35.7;1.4;347;Cereales y tubérculos con grasa
Chips de plátano;bolsa individual;28;1;517.9;2.1;33.6;28.9;0;58.6;35.4;7.9;ND;Cereales y tubérculos con grasa
Choco chispas;pieza;4.4;1;527;5.5;24.1;15.1;0;72.3;28.6;1;279.6;Cereales y tubérculos con grasa
Chocorroles;pieza;33.5;1;350;5;15;8.8;37.5;57.5;40;2.5;225;Cereales y tubérculos con grasa
Chocotorro;pieza;50;1;406;4;18;12;20;58;42;2;210;Cereales y tubérculos con grasa
Chokis;pieza;10.1;1;455.4;6.6;19.8;13.2;0;62.7;36.3;3.3;429;Cereales y tubérculos con grasa
Chokis sin azúcar;pieza;10.5;1;454;5.1;22.9;12.7;0;56.8;3.2;7.3;365.1;Cereales y tubérculos con grasa
Churrito con chile;bolsa chica (90g);90;1;483.3;6.6;30;16.7;0;46.6;0;10;1490;Cereales y tubérculos con grasa
Churritos Barcel;paquete;60;1;550.3;5.3;36.8;11.3;0;51.5;0.3;4.6;1278;Cereales y tubérculos con grasa
Churritos de nopal;bolsa chica;60;1;456.6;6.7;16.7;3.3;0;70;0;13.3;333.3;Cereales y tubérculos con grasa
Concha de chocolate;pieza;65;1;408.3;10;15;8.3;0;58.3;16.6;0;283.3;Cereales y tubérculos con grasa
Concha de vainilla;pieza;65;1;408.3;10;15;8.3;0;58.3;16.6;0;283.3;Cereales y tubérculos con grasa
Costra para pay casera;gramos;1;1;121;1.5;8;2;0;10.9;0;0.4;ND;Cereales y tubérculos con grasa
Costra para pay congelada;gramos;1;1;81;1;4.6;1.5;0;9;0.7;0.5;ND;Cereales y tubérculos con grasa
Cremax sin azúcar;pieza;11.6;1;500;4.6;25;17.8;0;64.4;2.6;2.3;129.3;Cereales y tubérculos con grasa
Croissant;pieza mediana;57;1;406;8.2;21;11.6;67;45.8;11.3;2.6;467;Cereales y tubérculos con grasa
Croissant de manzana;pieza mediana;57;1;254;7.4;8.7;4.9;31;37.1;ND;2.5;274;Cereales y tubérculos con grasa
Croissant de queso;pieza mediana;57;1;414;9.2;20.9;10.6;57;47;11.4;2.6;361;Cereales y tubérculos con grasa
Croutones sazonados;taza;30;1;465;10.8;18.3;5;2.5;63.5;0;5;1237.5;Cereales y tubérculos con grasa
Crujitos;bolsa chica;40;1;463.3;6.7;23.3;10;0;56.6;3.3;6.7;933.3;Cereales y tubérculos con grasa
Cuernito;pieza mediana;57;1;406;8.2;21;11.6;67;45.8;11.3;2.6;467;Cereales y tubérculos con grasa
Cuernito de manzana;pieza mediana;57;1;254;7.4;8.7;4.9;31;37.1;ND;2.5;274;Cereales y tubérculos con grasa
Cuernito de queso;pieza mediana;57;1;414;9.2;20.9;10.6;57;47;11.4;2.6;361;Cereales y tubérculos con grasa
Cuerno;pieza mediana;57;1;406;8.2;21;11.6;67;45.8;11.3;2.6;467;Cereales y tubérculos con grasa
Cupcake de chocolate;pieza;60;1;350;3.3;11.7;3.3;8.3;60;43.3;3.3;ND;Cereales y tubérculos con grasa
Dalmata;pieza;55;1;430.9;4.2;20.9;14;38.1;56.5;37.4;1.3;249;Cereales y tubérculos con grasa
Dona;pieza;65;1;421.3;4.9;23;3.8;36.2;49.8;16.8;1.5;546.8;Cereales y tubérculos con grasa
Dona azucarada;pieza;65;1;421.3;4.9;23;3.8;36.2;49.8;16.8;1.5;546.8;Cereales y tubérculos con grasa
Dona con coco;pieza;50;1;406;4.9;19.1;6.7;75;53.7;31.8;1.8;240;Cereales y tubérculos con grasa
Dona glaseada de chocolate;pieza;65;1;474.4;4.9;30.9;8.4;58.1;47.9;0;2.1;427.9;Cereales y tubérculos con grasa
Dona glaseada sabor chocolate;pieza;65;1;474.4;4.9;30.9;8.4;58.1;47.9;0;2.1;427.9;Cereales y tubérculos con grasa
Dona glaseasa;pieza;65;1;421.3;4.9;23;3.8;36.2;49.8;16.8;1.5;546.8;Cereales y tubérculos con grasa
Dona rellena de crema;pieza;80;1;361;6.4;24.5;5.4;24;30;14.6;0.8;309;Cereales y tubérculos con grasa
Dona rellena de mermelada;pieza;80;1;340;5.9;18.7;4.8;26;39;21.1;0.9;455;Cereales y tubérculos con grasa
Donas con azúcar;pieza;63;1;418.3;3.8;22.8;11.4;38;49.4;22.8;0;456.3;Cereales y tubérculos con grasa
Donas con chocolate;pieza;75;1;452;4.9;25.3;13.5;19;51.3;26.7;1.9;326;Cereales y tubérculos con grasa
Doraditas;pieza;36.67;1;534.4;5.2;27.3;14.7;0;67;23.4;0.3;760;Cereales y tubérculos con grasa
Doritos Diablo;bosla chica (61g);61;1;450;6.7;23.3;10;0;53.3;0;10;1166.6;Cereales y tubérculos con grasa
Doritos Incognita;paquete;55;1;467.2;80;23.6;10.9;0;56.3;0;5.4;1018;Cereales y tubérculos con grasa
Doritos Nacho;bolsa chica (61g);61;1;450;6.7;23.3;10;0;53.3;3.3;6.7;566.7;Cereales y tubérculos con grasa
Doritos Nachos;gramos;1;1;477;8;25;ND;ND;55;2;5;760;Cereales y tubérculos con grasa
Doritos Nachos   ;bolsita;58;1;463.3;6.7;23.3;10;0;56.7;3.3;3.3;533.3;Cereales y tubérculos con grasa
Doritos pizzerolas;bosla chica (61g);61;1;450;6.7;23.3;10;0;53.3;3.3;10;733.3;Cereales y tubérculos con grasa
Doritos pizzerolas;paquete;55;1;483.6;7.2;25.4;10.9;0;56.4;3.6;5.4;1109;Cereales y tubérculos con grasa
Eclair de chocolate;pieza;57;1;343.9;4.6;16.1;0;43.9;44.7;0;0;114;Cereales y tubérculos con grasa
Emperador chocolate;pieza;10.1;1;438.9;5.6;17.8;9.2;0;64.4;32;3;412.5;Cereales y tubérculos con grasa
Emperador sin azúcar;pieza;1.013.333.333;1;470.4;5.6;21.4;10.9;0;63.5;1;3;394.7;Cereales y tubérculos con grasa
Fiber one  sabor chocolate;pieza;25.16;1;329;4;11.9;6;0;51.5;27.7;19.8;317.4;Cereales y tubérculos con grasa
Fiber One sabor canela;pieza;25.16;1;321.4;4;11.9;6;0;51.5;31.7;19.8;337.3;Cereales y tubérculos con grasa
Fritos;gramos;1;1;548;8;36;16;0;48;0;8;720;Cereales y tubérculos con grasa
Fritos chile y limón;bolsa chica;40;1;513.3;6.7;33.3;15;0;46.7;20;6.7;600;Cereales y tubérculos con grasa
Fritos chorizo y chipotle;bolsa chica;40;1;513.3;6.7;33.3;16.6;0;46.7;0;6.7;733.3;Cereales y tubérculos con grasa
Fritos sal y limón;bolsa chica;40;1;556;6.7;36.6;16.6;0;50;0;6.6;500;Cereales y tubérculos con grasa
Frituras de maíz con chile y limón;bolsa;57;1;444;4;28;0;0;44;0;0;1160;Cereales y tubérculos con grasa
Frituras de maíz con limón y sal;bolsa;57;1;444;4;28;0;0;44;0;0;1160;Cereales y tubérculos con grasa
Fruitcake;rebanada;43;1;323.3;2.8;9.1;1.2;4.7;61.6;29.8;3.7;ND;Cereales y tubérculos con grasa
Galleta con chispas de chocolate;pieza;7;1;500;6.3;25;7.8;0;65.6;31.3;3.1;343.8;Cereales y tubérculos con grasa
Galleta cubierta de chocolate;pieza;14;1;489.3;5.7;23.6;11.1;0;67.5;0;3.2;292.9;Cereales y tubérculos con grasa
Galleta de avena;pieza;18;1;450;6.1;18.3;3.3;0;68.9;0;2.8;383.3;Cereales y tubérculos con grasa
Galleta de avena  Quaker con Pasas;pieza;10;1;426.7;7;17;5;0;61.7;27;8.3;283.3;Cereales y tubérculos con grasa
Galleta de avena con pasas;pieza;12.5;1;440;4;20;4;0;60;0;0;300;Cereales y tubérculos con grasa
Galleta de avena Quaker sin azúcar con Almendras;pieza;10;1;390;8.7;15;3.7;0;54.7;2.7;15;400;Cereales y tubérculos con grasa
Galleta de avena y manzana;pieza;23.5;1;457.4;3.8;14.9;4;10.6;74.7;0;0;453.2;Cereales y tubérculos con grasa
Galleta de chocolate con relleno cremoso;pieza;9;1;470.6;5.9;20.6;5.9;0;73.5;41.2;2.9;ND;Cereales y tubérculos con grasa
Galleta de chocolate con relleno cremoso baja en grasa;pieza;9;1;441.2;5.9;13.2;2.9;0;76.5;41.2;2.9;ND;Cereales y tubérculos con grasa
Galleta de crema de cacahuate;pieza;15;1;480;9.3;23.3;5.3;0;58.7;0;2;413.3;Cereales y tubérculos con grasa
Galleta de malvavisco con chocolate;pieza;13;1;423.1;3.8;16.9;4.6;0;67.7;0;2.3;169.2;Cereales y tubérculos con grasa
Galleta de nuez;pieza;15;1;486.7;6.7;20;8.3;0;70;23.3;8.3;583.3;Cereales y tubérculos con grasa
Galleta integral;pieza;5;1;474;8.7;18;3;0;69.3;2.7;5.7;900;Cereales y tubérculos con grasa
Galleta integral con miel;pieza;6;1;456.8;8.1;13.5;4.3;0;75.7;21.6;2.7;378.4;Cereales y tubérculos con grasa
Galleta integral de miel;pieza;6;1;456.8;8.1;13.5;4.3;0;75.7;21.6;2.7;378.4;Cereales y tubérculos con grasa
Galleta integral de trigo;pieza;7;1;403;8.4;13.8;0;0;68.2;0;5.7;547;Cereales y tubérculos con grasa
Galleta integral molida;cucharada;6;1;474;8.7;18;3;0;69.3;2.7;5.7;900;Cereales y tubérculos con grasa
Galleta O`reo;pieza;9;1;479;4.9;20.9;10.2;0;67.9;38;2.1;471;Cereales y tubérculos con grasa
Galleta salada cremosa;pieza;3.2;1;500;6.3;25;3.1;0;62.5;6.3;0;843.8;Cereales y tubérculos con grasa
Galleta sandwich;pieza;10.7;1;423.1;3.8;9.6;1.9;0;76.9;42.3;3.8;846.2;Cereales y tubérculos con grasa
Galleta sandwich de chocolate;pieza;10.7;1;423.1;3.8;9.6;1.9;0;76.9;42.3;3.8;846.2;Cereales y tubérculos con grasa
Galleta sandwich de vainilla;pieza;10.7;1;423.1;3.8;9.6;1.9;0;76.9;42.3;3.8;846.2;Cereales y tubérculos con grasa
Galleta wafers;pieza;3.5;1;500;3.6;21.4;5.4;0;75;46.4;3.6;142.9;Cereales y tubérculos con grasa
Galletas canelitas;pieza;15;1;500;0;15;0;0;80;30;0;250;Cereales y tubérculos con grasa
Galletas con almendras;piezas;14;1;535.7;3.6;35;16.1;ND;60.7;46.4;ND;ND;Cereales y tubérculos con grasa
Galletas con chispas de chocolate;pieza;32;1;500;6.3;25;7.8;0;65.6;31.3;0;ND;Cereales y tubérculos con grasa
Galletas con chispas de chocolate bajas en grasa;pieza;10;1;450;6;15;4;0;73;ND;4;ND;Cereales y tubérculos con grasa
Galletas con chispas de chocolate con mantequilla caseras;pieza;16;1;487.5;5.6;28.1;14.4;68.8;58.1;ND;ND;ND;Cereales y tubérculos con grasa
Galletas con mermelada;pieza;16.6;1;415.5;7.7;11.5;3.8;0;69.2;38.5;0;115.3;Cereales y tubérculos con grasa
Galletas de canela;pieza;15;1;460;6.6;20;10;50;63.3;23.3;3.3;313.3;Cereales y tubérculos con grasa
Galletas de manzana con pasas;pieza;26;1;434.6;5;16.5;3.5;7.7;66.2;33.8;2.3;ND;Cereales y tubérculos con grasa
Galletas de nuez con azúcar glass;pieza;26.5;1;520;6.7;26.6;16.7;0;53.3;30;0.3;33.3;Cereales y tubérculos con grasa
Galletas Marías Doradas;pieza;10;1;440;6.7;13.3;6.7;16;73.3;23.3;3.3;646.6;Cereales y tubérculos con grasa
Gansito;gramos;1;1;394;4.2;15.6;11;30;59.4;41.8;2.4;222;Cereales y tubérculos con grasa
Gordita de maíz;pieza;47;1;303;4.2;16.2;2.8;0;36.7;0.7;2.7;330;Cereales y tubérculos con grasa
Granola con almendras;cucharada;7;1;466.7;11.8;16.7;2.3;0;67.2;20.4;5.3;33.3;Cereales y tubérculos con grasa
Granola con avena y miel;cucharada;7;1;456.3;11;19.2;7.9;2.1;65.4;27.3;6.9;41.7;Cereales y tubérculos con grasa
Granola con pasitas y dátiles;cucharada;7;1;436.7;9.8;13.7;2;0;72.2;29.2;6;25;Cereales y tubérculos con grasa
Granola estándar;cucharada;7;1;464.1;11.1;18.9;0;0;67.1;0;5.4;39.2;Cereales y tubérculos con grasa
Granola Thins Nature Valley;pieza;17;1;470.5;5.8;23.5;8.8;0;64.7;35.2;5.8;441;Cereales y tubérculos con grasa
Habaneras Bran Arándanos Ciruela;gramos;1;1;324;7.7;12.2;ND;ND;45.8;12.8;8.5;490;Cereales y tubérculos con grasa
Harina de algodón baja en grasa;cucharada;8;1;331.9;49.8;1.4;0.3;0;36.1;0;0;180;Cereales y tubérculos con grasa
